Modifier Set,Modifier,Net Qty Sold,Net Sales,Qty Sold,Gross Sales,Qty Refunded,Refunds
Bagel Flavor 03,Everything,15,$0.00,15,$0.00,0,$0.00
Bagel Flavor 03,Plain,6,$0.00,6,$0.00,0,$0.00
Bagel Flavor 03,Rosemary Sea Salt,7,$0.00,7,$0.00,0,$0.00
Bagel Flavor 03,Sesame,9,$0.00,9,$0.00,0,$0.00
Bagel Flavor 03,Za'atar,2,$0.00,2,$0.00,0,$0.00
Bagel Flavor 04,Everything,12,$0.00,12,$0.00,0,$0.00
Bagel Flavor 04,Plain,8,$0.00,8,$0.00,0,$0.00
Bagel Flavor 04,Rosemary Sea Salt,10,$0.00,10,$0.00,0,$0.00
Bagel Flavor 04,Sesame,8,$0.00,8,$0.00,0,$0.00
Bagel Flavor 04,Za'atar,1,$0.00,1,$0.00,0,$0.00
Bagel Flavor 05,Everything,7,$0.00,7,$0.00,0,$0.00
Bagel Flavor 05,Plain,3,$0.00,3,$0.00,0,$0.00
Bagel Flavor 05,Rosemary Sea Salt,3,$0.00,3,$0.00,0,$0.00
Bagel Flavor 05,Sesame,4,$0.00,4,$0.00,0,$0.00
Bagel Flavor 05,Za'atar,3,$0.00,3,$0.00,0,$0.00
Bagel Flavor 06,Everything,9,$0.00,9,$0.00,0,$0.00
Bagel Flavor 06,Plain,1,$0.00,1,$0.00,0,$0.00
Bagel Flavor 06,Rosemary Sea Salt,4,$0.00,4,$0.00,0,$0.00
Bagel Flavor 06,Sesame,4,$0.00,4,$0.00,0,$0.00
Bagel Flavor 06,Za'atar,2,$0.00,2,$0.00,0,$0.00
Bagel Flavor 07,Everything,5,$0.00,5,$0.00,0,$0.00
Bagel Flavor 07,Rosemary Sea Salt,1,$0.00,1,$0.00,0,$0.00
Bagel Flavor 07,Sesame,3,$0.00,3,$0.00,0,$0.00
Bagel Flavor 08,Everything,3,$0.00,3,$0.00,0,$0.00
Bagel Flavor 08,Rosemary Sea Salt,3,$0.00,3,$0.00,0,$0.00
Bagel Flavor 08,Sesame,3,$0.00,3,$0.00,0,$0.00
Bagel Flavor 09,Everything,2,$0.00,2,$0.00,0,$0.00
Bagel Flavor 09,Rosemary Sea Salt,2,$0.00,2,$0.00,0,$0.00
Bagel Flavor 09,Sesame,5,$0.00,5,$0.00,0,$0.00
Bagel Flavor 10,Everything,4,$0.00,4,$0.00,0,$0.00
Bagel Flavor 10,Rosemary Sea Salt,2,$0.00,2,$0.00,0,$0.00
Bagel Flavor 10,Sesame,2,$0.00,2,$0.00,0,$0.00
Bagel Flavor 10,Za'atar,1,$0.00,1,$0.00,0,$0.00
Bagel Flavor 11,Everything,3,$0.00,3,$0.00,0,$0.00
Bagel Flavor 11,Plain,1,$0.00,1,$0.00,0,$0.00
Bagel Flavor 11,Rosemary Sea Salt,2,$0.00,2,$0.00,0,$0.00
Bagel Flavor 11,Sesame,2,$0.00,2,$0.00,0,$0.00
Bagel Flavor 11,Za'atar,1,$0.00,1,$0.00,0,$0.00
Bagel Flavor 12,Everything,3,$0.00,3,$0.00,0,$0.00
Bagel Flavor 12,Plain,1,$0.00,1,$0.00,0,$0.00
Bagel Flavor 12,Rosemary Sea Salt,1,$0.00,1,$0.00,0,$0.00
Bagel Flavor 12,Sesame,3,$0.00,3,$0.00,0,$0.00
Bagel Flavor 12,Za'atar,1,$0.00,1,$0.00,0,$0.00
Basic Bitch Mods,Candied Bacon,40,$80.00,40,$80.00,0,$0.00
Basic Bitch Mods,Chorizo Patty,4,$8.00,4,$8.00,0,$0.00
Basic Bitch Mods,Sausage Patty,17,$34.00,17,$34.00,0,$0.00
Basic Bitch Mods,Taylor Ham,6,$12.00,6,$12.00,0,$0.00
Coffee Add Ons,Double Oat Milk,1,$0.50,1,$0.50,0,$0.00
Coffee Add Ons,Raw Sugar,2,$0.00,2,$0.00,0,$0.00
Coffee Add Ons,Splenda,2,$0.00,2,$0.00,0,$0.00
Coffee Flavors,Caramel,8,$6.00,8,$6.00,0,$0.00
Coffee Flavors,Hazelnut,8,$6.00,8,$6.00,0,$0.00
Coffee Flavors,Honey,2,$1.50,2,$1.50,0,$0.00
Coffee Flavors,Vanilla,15,$11.25,15,$11.25,0,$0.00
Coffee Options,Add Shot,19,$19.00,19,$19.00,0,$0.00
Coffee Options,Decaf,8,$0.00,8,$0.00,0,$0.00
Coffee Options,Iced,68,$0.00,68,$0.00,0,$0.00
Combo Drinks,Soda of Choice,2,$4.00,2,$4.00,0,$0.00
Cream Cheese Options,No Cream Cheese,4,$0.00,4,$0.00,0,$0.00
Cream Cheese Options,On the Side,2,$0.00,2,$0.00,0,$0.00
Cream Cheese Options,Sub Bacon Chive Cream Cheese,4,$0.00,4,$0.00,0,$0.00
Cream Cheese Options,Sub Garlic Herb Cream Cheese,6,$0.00,6,$0.00,0,$0.00
Cream Cheese Options,Sub Jalapeno Cheddar Cheddar Cream Cheese,3,$0.00,3,$0.00,0,$0.00
Cream Cheese Options,Sub Plain Cream Cheese,3,$0.00,3,$0.00,0,$0.00
Deli Cheese Options,American White Cheese,15,$0.00,15,$0.00,0,$0.00
Deli Cheese Options,Pepper jack,28,$0.00,28,$0.00,0,$0.00
Deli Cheese Options,Sharp Cheddar,58,$0.00,58,$0.00,0,$0.00
Egg,Egg,1,$3.00,1,$3.00,0,$0.00
Hot Tea,Earl Grey,1,$0.00,1,$0.00,0,$0.00
Hot Tea,English Breakfast,1,$0.00,1,$0.00,0,$0.00
Hot Tea,Moroccan Green Mint,1,$0.00,1,$0.00,0,$0.00
Iced Tea Flavors,Black Tea,3,$0.00,3,$0.00,0,$0.00
Iced Tea Flavors,Green Mint,2,$0.00,2,$0.00,0,$0.00
Milk Options,Almond,28,$21.00,28,$21.00,0,$0.00
Milk Options,Half & Half,12,$0.00,12,$0.00,0,$0.00
Milk Options,Oat Milk,51,$38.25,51,$38.25,0,$0.00
Milk Options,Soy,5,$3.75,5,$3.75,0,$0.00
Milk Options,Whole Milk,16,$0.00,16,$0.00,0,$0.00
Sando Combo Side,Combo Fries,2,$4.00,2,$4.00,0,$0.00
Sando Combo Side,Combo Salad,2,$4.00,2,$4.00,0,$0.00
Sando Combo Side,Combo Soup,1,$2.00,1,$2.00,0,$0.00
Spreads,Bacon Chive Cream Cheese,10,$20.00,10,$20.00,0,$0.00
Spreads,Berry Cream Cheese,1,$2.00,1,$2.00,0,$0.00
Spreads,Butter,13,$6.50,13,$6.50,0,$0.00
Spreads,Cream Cheese,58,$87.00,58,$87.00,0,$0.00
Spreads,Dill Caper Cream Cheese,4,$8.00,4,$8.00,0,$0.00
Spreads,Extra Cream Cheese,2,$3.00,2,$3.00,0,$0.00
Spreads,Garlic Fine Herb Cream Cheese,19,$38.00,19,$38.00,0,$0.00
Spreads,Jalapeño Cheddar Cream Cheese,10,$20.00,10,$20.00,0,$0.00
Spreads,ON SIDE,8,$0.00,8,$0.00,0,$0.00
Spreads,VEGAN Cream Cheese,10,$30.00,10,$30.00,0,$0.00
Spreads,VEGAN Garlic Fine Herb Cream Cheese,3,$9.00,3,$9.00,0,$0.00
Spreads,VEGAN Jalapeño Cream Cheese,3,$9.00,3,$9.00,0,$0.00
Vegan Option,VEGAN,126,$0.00,126,$0.00,0,$0.00
